cleaned job,Employment,Mean Hourly Wage,Mean Annual Wage,Median hourly wages
Miscellaneous production workers,829640,13.77,28650,12.4
Adhesive bonding machine operators and tenders,18280,15.65,32540,14.68
"Cleaning, washing, and metal pickling equipment operators and tenders",16460,13.56,28210,12.73
Cooling and freezing equipment operators and tenders,7660,14.24,29620,13.31
Etchers and engravers,8570,14.45,30060,13.7
"Molders, shapers, and casters, except metal and plastic",32920,15.14,31480,14.32
"Paper goods machine setters, operators, and tenders",94910,17.23,35830,16.73
Tire builders,17570,18.86,39240,19.09
Helpers--production workers,426670,12.05,25070,11.13
"Production workers, all other",206600,14.89,30980,13.26
Transportation and material moving occupations,9005120,16.28,33860,13.99
Supervisors of transportation and material moving workers,371250,25.08,52180,23.7
Aircraft cargo handling supervisors,6270,23.54,48970,21.56
"First-line supervisors of helpers, laborers, and material movers, hand",167190,23.02,47880,21.99
First-line supervisors of transportation and material-moving machine and vehicle operators,197800,26.88,55910,25.68
Air transportation workers,234220,(²),84100,(²)
Aircraft pilots and flight engineers,110370,(²),113090,(²)
"Airline pilots, copilots, and flight engineers",73030,(²),129600,(²)
Commercial pilots,37340,(²),80800,(²)
Air traffic controllers and airfield operations specialists,30310,49.4,102750,48.98
Air traffic controllers,23060,57.05,118650,58.31
Airfield operations specialists,7250,25.09,52190,23.71
Flight attendants,93550,(²),43860,(²)
Motor vehicle operators,3664240,16.98,35320,15.87
"Ambulance drivers and attendants, except emergency medical technicians",18380,11.98,24920,11.35
Bus drivers,653940,15.21,31640,14.27
"Bus drivers, transit and intercity",157830,18.63,38750,17.64
"Bus drivers, school or special client",496110,14.12,29380,13.62
Driver/sales workers and truck drivers,2758700,17.77,36970,16.72
Driver/sales workers,396470,13.41,27900,10.92
Heavy and tractor-trailer truck drivers,1585300,19.68,40940,18.61
Light truck or delivery services drivers,776930,16.1,33490,14.02
Taxi drivers and chauffeurs,170030,12.12,25200,10.98
"Motor vehicle operators, all other",63200,15.44,32110,13.25
Rail transportation workers,123420,26.5,55110,25.86
Locomotive engineers and operators,43870,25.96,53990,24.86
Locomotive engineers,36860,26.76,55660,25.63
Locomotive firers,1880,23.03,47900,21.59
"Rail yard engineers, dinkey operators, and hostlers",5140,21.28,44260,20.33
"Railroad brake, signal, and switch operators",23950,24,49920,24.44
Railroad conductors and yardmasters,43100,27.9,58030,26.95
Subway and streetcar operators,8930,28.31,58880,30.6
"Rail transportation workers, all other",3570,28.42,59110,28.15
Water transportation workers,72440,28.78,59850,24.59
Sailors and marine oilers,28810,19.56,40690,18.73
Ship and boat captains and operators,33700,34.41,71570,31.66
"Captains, mates, and pilots of water vessels",30290,36.34,75580,33.62
Motorboat operators,3400,17.25,35880,15.17
Ship engineers,9930,36.37,75650,33.49
Other transportation workers,338080,13.16,27360,10.47
Bridge and lock tenders,3170,21.17,44040,22.29
Parking lot attendants,130190,10.26,21340,9.38
Automotive and watercraft service attendants,112970,10.56,21960,9.84
Traffic technicians,6220,21.12,43920,19.15
Transportation inspectors,23970,32.83,68280,31.71
"Transportation attendants, except flight attendants",21280,12.57,26150,11.27
"Transportation workers, all other",40290,16.54,34400,15.44
Material moving workers,4201450,13.28,27620,11.72
Conveyor operators and tenders,40760,15.95,33180,14.7
Crane and tower operators,41580,24.82,51620,23.38
"Dredge, excavating, and loading machine operators",49710,20.88,43420,19.07
Dredge operators,1750,21.91,45580,19.04
Excavating and loading machine and dragline operators,44780,20.66,42970,18.7
"Loading machine operators, underground mining",3180,23.36,48600,24.35
Hoist and winch operators,2980,23.26,48370,18.62
Industrial truck and tractor operators,504560,15.7,32660,14.77
"Laborers and material movers, hand",3374770,12.32,25630,11.03
Cleaners of vehicles and equipment,311940,11.05,22980,9.72
"Laborers and freight, stock, and material movers, hand",2284650,12.83,26690,11.52
Machine feeders and offbearers,106160,14.19,29510,13.61
"Packers and packagers, hand",672020,10.9,22670,9.6
Pumping station operators,31090,22.81,47450,22.26
Gas compressor and gas pumping station operators,4520,25.84,53740,26.16
"Pump operators, except wellhead pumpers",13170,22,45760,20.8
Wellhead pumpers,13410,22.59,46990,22.1
Refuse and recyclable material collectors,116460,16.96,35280,15.73
Mine shuttle car operators,2730,25.27,52560,25.49
"Tank car, truck, and ship loaders",12560,21.8,45340,20.33
"Material moving workers, all other",24250,18.75,39000,16.64
